"woaii_chapter"|"openalex_work_id"|"title"|"publication_year"|"source_id"|"source_name"|"type"|"cited_by_count"|"reference_count"
"4"|"https://openalex.org/W2044276359"|"An analysis of risks for biodiversity under the DPSIR framework"|2009|"https://openalex.org/S136211407"|"Ecological economics"|"article"|249|39
"4"|"https://openalex.org/W2517187963"|"Gridded population projections for the coastal zone under the Shared Socioeconomic Pathways"|2016|"https://openalex.org/S63048404"|"Global and planetary change"|"article"|195|26
"4"|"https://openalex.org/W1974527622"|"Future Coastal Population Growth and Exposure to Sea-Level Rise and Coastal Flooding - A Global Assessment"|2015|"https://openalex.org/S202381698"|"PloS one"|"article"|1715|44
"4"|"https://openalex.org/W2519462609"|"DPSIR—Two Decades of Trying to Develop a Unifying Framework for Marine Environmental Management?"|2016|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|195|86
"4"|"https://openalex.org/W2909928624"|"Satellite surveillance of fishing vessel activity in the Ascension Island Exclusive Economic Zone and Marine Protected Area"|2019|"https://openalex.org/S56205983"|"Marine policy"|"article"|40|47
"4"|"https://openalex.org/W2115661873"|"Electronic monitoring trials on in the tropical tuna purse-seine fishery"|2014|"https://openalex.org/S200038611"|"ICES journal of marine science"|"article"|23|6
"4"|"https://openalex.org/W2537482405"|"Forecasting geopolitical risks: Oceans as source of instability"|2017|"https://openalex.org/S56205983"|"Marine policy"|"article"|19|9
"4"|"https://openalex.org/W2762984108"|"A protocol for the intercomparison of marine fishery and ecosystem models: Fish-MIP v1.0"|2018|"https://openalex.org/S60406085"|"Geoscientific model development"|"article"|118|94
"4"|"https://openalex.org/W2973155304"|"Global Environment Outlook – GEO-6: Healthy Planet, Healthy People"|2019|"https://openalex.org/S4306462995"|"Cambridge University Press eBooks"|"book"|302|1
"5"|"https://openalex.org/W2643003590"|"The increasing rate of global mean sea-level rise during 1993–2014"|2017|"https://openalex.org/S183584863"|"Nature climate change"|"article"|328|42
"5"|"https://openalex.org/W2768682714"|"Satellite Altimetry in Coastal Regions"|2017|"https://openalex.org/S4306463075"|"CRC Press eBooks"|"book-chapter"|29|1
"5"|"https://openalex.org/W2767070028"|"An improved and homogeneous altimeter sea level record from the ESA Climate Change Initiative"|2018|"https://openalex.org/S106909380"|"Earth system science data"|"article"|150|55
"5"|"https://openalex.org/W2790934709"|"Climate-change–driven accelerated sea-level rise detected in the altimeter era"|2018|"https://openalex.org/S125754415"|"Proceedings of the National Academy of Sciences of the United States of America"|"article"|742|31
"5"|"https://openalex.org/W2944017778"|"Forcing Factors Affecting Sea Level Changes at the Coast"|2019|"https://openalex.org/S194739432"|"Surveys in geophysics"|"article"|176|259
"5"|"https://openalex.org/W2810491782"|"Global sea-level budget 1993–present"|2018|"https://openalex.org/S106909380"|"Earth system science data"|"article"|409|232
"5"|"https://openalex.org/W2794728810"|"Observed fingerprint of a weakening Atlantic Ocean overturning circulation"|2018|"https://openalex.org/S137773608"|"Nature"|"article"|638|59
"5"|"https://openalex.org/W2473336205"|"Drivers of exceptionally cold North Atlantic Ocean temperatures and their link to the 2015 European heat wave"|2016|"https://openalex.org/S139338987"|"Environmental research letters"|"article"|124|34
"5"|"https://openalex.org/W2069864675"|"An extreme event of sea-level rise along the Northeast coast of North America in 2009–2010"|2015|"https://openalex.org/S64187185"|"Nature communications"|"article"|156|39
"5"|"https://openalex.org/W2402643682"|"Recent slowing of Atlantic overturning circulation as a recovery from earlier strengthening"|2016|"https://openalex.org/S48977010"|"Nature geoscience"|"article"|147|33
"5"|"https://openalex.org/W2116063019"|"Variability of the meridional overturning circulation at the Greenland–Portugal OVIDE section from 1993 to 2010"|2015|"https://openalex.org/S9314624"|"Progress in oceanography/Progress in Oceanography"|"article"|112|59
"5"|"https://openalex.org/W2022350358"|"Exceptional twentieth-century slowdown in Atlantic Ocean overturning circulation"|2015|"https://openalex.org/S183584863"|"Nature climate change"|"article"|746|51
"5"|"https://openalex.org/W1987585697"|"Nutrient regime shift in the western North Atlantic indicated by compound-specific <i>δ</i> <sup>15</sup> N of deep-sea gorgonian corals"|2011|"https://openalex.org/S125754415"|"Proceedings of the National Academy of Sciences of the United States of America"|"article"|148|41
"5"|"https://openalex.org/W2108274925"|"Observed decline of the Atlantic meridional overturning circulation 2004–2012"|2014|"https://openalex.org/S152701455"|"Ocean science"|"article"|281|37
"5"|"https://openalex.org/W2795322264"|"Anomalously weak Labrador Sea convection and Atlantic overturning during the past 150 years"|2018|"https://openalex.org/S137773608"|"Nature"|"article"|293|60
"5"|"https://openalex.org/W2166507984"|"Enhanced warming over the global subtropical western boundary currents"|2012|"https://openalex.org/S183584863"|"Nature climate change"|"article"|579|30
"5"|"https://openalex.org/W2907402105"|"Global reconstruction of historical ocean heat storage and transport"|2019|"https://openalex.org/S125754415"|"Proceedings of the National Academy of Sciences of the United States of America"|"article"|190|48
"5"|"https://openalex.org/W2150244073"|"A review of global ocean temperature observations: Implications for ocean heat content estimates and climate change"|2013|"https://openalex.org/S129102366"|"Reviews of geophysics"|"review"|375|133
"5"|"https://openalex.org/W2594584909"|"Improved estimates of ocean heat content from 1960 to 2015"|2017|"https://openalex.org/S2737427234"|"Science advances"|"article"|490|64
"5"|"https://openalex.org/W2900568591"|"Decadal Ocean Heat Redistribution Since the Late 1990s and Its Association with Key Climate Modes"|2018|"https://openalex.org/S2736420981"|"Climate"|"article"|19|95
"5"|"https://openalex.org/W2908827086"|"2018 Continues Record Global Ocean Warming"|2019|"https://openalex.org/S63270775"|"Advances in atmospheric sciences"|"article"|58|24
"5"|"https://openalex.org/W2909681691"|"How fast are the oceans warming?"|2019|"https://openalex.org/S3880285"|"Science"|"article"|364|12
"5"|"https://openalex.org/W2087154488"|"Change in El Niño flavours over 1958–2008: Implications for the long-term trend of the upwelling off Peru"|2012|"https://openalex.org/S172051550"|"Deep-sea research. Part 2. Topical studies in oceanography/Deep sea research. Part II, Topical studies in oceanography"|"preprint"|72|54
"5"|"https://openalex.org/W2025212464"|"Improved estimates of upper-ocean warming and multi-decadal sea-level rise"|2008|"https://openalex.org/S137773608"|"Nature"|"article"|662|27
"5"|"https://openalex.org/W2330872289"|"Ocean Salinity and the Global Water Cycle"|2015|"https://openalex.org/S92941125"|"Oceanography"|"article"|136|72
"5"|"https://openalex.org/W2146487757"|"Recent intensification of wind-driven circulation in the Pacific and the ongoing warming hiatus"|2014|"https://openalex.org/S183584863"|"Nature climate change"|"article"|1121|41
"5"|"https://openalex.org/W2477072176"|"Productivity and Sustainable Management of the Humboldt Current Large Marine Ecosystem under climate change"|2016|"https://openalex.org/S2764564261"|"Environmental development"|"article"|61|70
"5"|"https://openalex.org/W1993713496"|"Earth's energy imbalance and implications"|2011|"https://openalex.org/S162708223"|"Atmospheric chemistry and physics"|"article"|466|96
"5"|"https://openalex.org/W2018304142"|"Objective analyses of sea‐surface temperature and marine meteorological variables for the 20th century using ICOADS and the Kobe Collection"|2005|"https://openalex.org/S32061424"|"International journal of climatology"|"article"|508|28
"5"|"https://openalex.org/W2753989175"|"Accuracy of Global Upper Ocean Heat Content Estimation Expected from Present Observational Data Sets"|2017|"https://openalex.org/S4210176785"|"SOLA"|"article"|115|28
"5"|"https://openalex.org/W1970327765"|"Recent global-warming hiatus tied to equatorial Pacific surface cooling"|2013|"https://openalex.org/S137773608"|"Nature"|"article"|1402|27
"5"|"https://openalex.org/W2334140573"|"Tracking ocean heat uptake during the surface warming hiatus"|2016|"https://openalex.org/S64187185"|"Nature communications"|"article"|122|37
"5"|"https://openalex.org/W2954355050"|"Measuring Global Ocean Heat Content to Estimate the Earth Energy Imbalance"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|130|162
"5"|"https://openalex.org/W2887833501"|"Southern Ocean Warming"|2018|"https://openalex.org/S92941125"|"Oceanography"|"article"|87|82
"5"|"https://openalex.org/W2890425694"|"Recent Southern Ocean warming and freshening driven by greenhouse gas emissions and ozone depletion"|2018|"https://openalex.org/S48977010"|"Nature geoscience"|"article"|154|41
"5"|"https://openalex.org/W2254373983"|"An imperative to monitor Earth's energy imbalance"|2016|"https://openalex.org/S183584863"|"Nature climate change"|"article"|288|70
"5"|"https://openalex.org/W2625241797"|"Consensuses and discrepancies of basin-scale ocean heat content changes in different ocean analyses"|2017|"https://openalex.org/S93478396"|"Climate dynamics"|"article"|44|52
"5"|"https://openalex.org/W2003733038"|"Sea surface freshening inferred from SMOS and ARGO salinity: impact of rain"|2013|"https://openalex.org/S152701455"|"Ocean science"|"article"|101|25
"5"|"https://openalex.org/W2048831528"|"Ocean Salinities Reveal Strong Global Water Cycle Intensification During 1950 to 2000"|2012|"https://openalex.org/S3880285"|"Science"|"article"|810|50
"5"|"https://openalex.org/W2150101427"|"Year-to-year salinity changes in the Amazon plume: Contrasting 2011 and 2012 Aquarius/SACD and SMOS satellite data"|2014|"https://openalex.org/S141808269"|"Remote sensing of environment"|"article"|66|25
"5"|"https://openalex.org/W2105341618"|"Global surface layer salinity change detected by Argo and its implication for hydrological cycle intensification"|2009|"https://openalex.org/S193228948"|"Journal of oceanography"|"article"|133|20
"5"|"https://openalex.org/W2313211616"|"The Aquarius/SAC-D Mission: Designed to Meet the Salinity Remote-Sensing Challenge"|2008|"https://openalex.org/S92941125"|"Oceanography"|"article"|371|5
"5"|"https://openalex.org/W2154119893"|"Salinity changes in the World Ocean since 1950 in relation to changing surface freshwater fluxes"|2014|"https://openalex.org/S93478396"|"Climate dynamics"|"article"|134|74
"5"|"https://openalex.org/W2751661950"|"Validating SMAP SSS with in situ measurements"|2017|"https://openalex.org/S141808269"|"Remote sensing of environment"|"article"|81|27
"5"|"https://openalex.org/W1887094030"|"Clarifying the link between surface salinity and freshwater fluxes on monthly to interannual time scales"|2013|"https://openalex.org/S4210200322"|"Journal of geophysical research. Oceans"|"article"|59|57
"5"|"https://openalex.org/W2908626442"|"Experimental assessments of marine species sensitivities to ocean acidification and co-stressors: how far have we come?"|2019|"https://openalex.org/S146329739"|"Canadian journal of zoology"|"article"|63|132
"5"|"https://openalex.org/W2340716061"|"Pteropods on the edge: Cumulative effects of ocean acidification, warming, and deoxygenation"|2016|"https://openalex.org/S9314624"|"Progress in oceanography/Progress in Oceanography"|"article"|82|151
"5"|"https://openalex.org/W2130878599"|"Carbonate chemistry in the coastal zone responds more strongly to eutrophication than ocean acidification"|2009|"https://openalex.org/S207705515"|"Limnology and oceanography/The l & o on cd-rom"|"article"|295|35
"5"|"https://openalex.org/W2274794646"|"And on Top of All That… Coping with Ocean Acidification in the Midst of Many Stressors"|2015|"https://openalex.org/S92941125"|"Oceanography"|"article"|150|85
"5"|"https://openalex.org/W2060012482"|"Anthropogenic carbon and ocean pH"|2003|"https://openalex.org/S137773608"|"Nature"|"article"|3142|10
"5"|"https://openalex.org/W2511583780"|"Ocean acidification changes the male fitness landscape"|2016|"https://openalex.org/S196734849"|"Scientific reports"|"article"|25|47
"5"|"https://openalex.org/W2277133372"|"Ocean acidification impairs crab foraging behaviour"|2015|"https://openalex.org/S3006207977"|"Proceedings - Royal Society. Biological sciences/Proceedings - Royal Society. Biological Sciences"|"article"|82|69
"5"|"https://openalex.org/W2068375361"|"Impact of Anthropogenic CO <sub>2</sub> on the CaCO <sub>3</sub> System in the Oceans"|2004|"https://openalex.org/S3880285"|"Science"|"article"|2006|31
"5"|"https://openalex.org/W2050103984"|"Evidence for Upwelling of Corrosive  Acidified Water onto the Continental Shelf"|2008|"https://openalex.org/S3880285"|"Science"|"article"|1268|19
"5"|"https://openalex.org/W2065731998"|"Ocean Acidification: Present Conditions and Future Changes in a High-CO2 World"|2009|"https://openalex.org/S92941125"|"Oceanography"|"article"|825|6
"5"|"https://openalex.org/W2922127343"|"The oceanic sink for anthropogenic CO <sub>2</sub> from 1994 to 2007"|2019|"https://openalex.org/S3880285"|"Science"|"article"|545|64
"5"|"https://openalex.org/W2613802059"|"Coral Reef Ecosystems under Climate Change and Ocean Acidification"|2017|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|515|138
"5"|"https://openalex.org/W2147331520"|"The Geological Record of Ocean Acidification"|2012|"https://openalex.org/S3880285"|"Science"|"article"|863|188
"5"|"https://openalex.org/W2591042411"|"Linking the biological impacts of ocean acidification on oysters to changes in ecosystem services: A review"|2017|"https://openalex.org/S155333626"|"Journal of experimental marine biology and ecology"|"review"|83|188
"5"|"https://openalex.org/W2468982714"|"CO2 sensitivity experiments are not sufficient to show an effect of ocean acidification"|2016|"https://openalex.org/S200038611"|"ICES journal of marine science"|"article"|26|13
"5"|"https://openalex.org/W2122532121"|"Ocean acidification impairs olfactory discrimination and homing ability of a marine fish"|2009|"https://openalex.org/S125754415"|"Proceedings of the National Academy of Sciences of the United States of America"|"article"|641|31
"5"|"https://openalex.org/W2113297575"|"Anthropogenic ocean acidification over the twenty-first century and its impact on calcifying organisms"|2005|"https://openalex.org/S137773608"|"Nature"|"article"|3987|49
"5"|"https://openalex.org/W2565311562"|"Competitive fitness of a predominant pelagic calcifier impaired by ocean acidification"|2016|"https://openalex.org/S48977010"|"Nature geoscience"|"article"|67|44
"5"|"https://openalex.org/W2885904801"|"Autonomous seawater &amp;lt;i&amp;gt;p&amp;lt;/i&amp;gt;CO&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt; and pH time series from 40 surface buoys and the emergence of anthropogenic trends"|2019|"https://openalex.org/S106909380"|"Earth system science data"|"article"|71|75
"5"|"https://openalex.org/W2310649619"|"Anthropogenic carbon release rate unprecedented during the past 66 million years"|2016|"https://openalex.org/S48977010"|"Nature geoscience"|"article"|301|36
"5"|"https://openalex.org/W2031765290"|"Intensification of open-ocean oxygen depletion by vertically migrating animals"|2013|"https://openalex.org/S48977010"|"Nature geoscience"|"article"|210|27
"5"|"https://openalex.org/W2081162017"|"THE ACCURACY OF THE WINKLER METHOD FOR DISSOLVED OXYGEN ANALYSIS1"|1965|"https://openalex.org/S207705515"|"Limnology and oceanography/The l & o on cd-rom"|"article"|341|1
"5"|"https://openalex.org/W2058995292"|"Interesting Times for Marine N <sub>2</sub> O"|2010|"https://openalex.org/S3880285"|"Science"|"article"|179|14
"5"|"https://openalex.org/W2130231032"|"Spreading Dead Zones and Consequences for Marine Ecosystems"|2008|"https://openalex.org/S3880285"|"Science"|"article"|5216|30
"5"|"https://openalex.org/W2160458206"|"The change in oceanic O <sub>2</sub> inventory associated with recent global warming"|2002|"https://openalex.org/S125754415"|"Proceedings of the National Academy of Sciences of the United States of America"|"article"|269|33
"5"|"https://openalex.org/W2131829457"|"Ocean Deoxygenation in a Warming World"|2010|"https://openalex.org/S43203325"|"Annual review of marine science"|"article"|1288|133
"5"|"https://openalex.org/W2620825114"|"Manifestation, Drivers, and Emergence of Open Ocean Deoxygenation"|2018|"https://openalex.org/S43203325"|"Annual review of marine science"|"article"|182|168
"5"|"https://openalex.org/W2076613851"|"Isotopic Signature of N <sub>2</sub> O Produced by Marine Ammonia-Oxidizing Archaea"|2011|"https://openalex.org/S3880285"|"Science"|"article"|387|43
"5"|"https://openalex.org/W2588770771"|"Decline in global oceanic oxygen content during the past five decades"|2017|"https://openalex.org/S137773608"|"Nature"|"article"|844|38
"5"|"https://openalex.org/W2115194445"|"Expansion of oxygen minimum zones may reduce available habitat for tropical pelagic fishes"|2011|"https://openalex.org/S183584863"|"Nature climate change"|"article"|423|29
"5"|"https://openalex.org/W1979968585"|"The marine nitrogen cycle: recent discoveries, uncertainties and the potential relevance of climate change"|2013|"https://openalex.org/S91660768"|"Philosophical transactions - Royal Society. Biological sciences"|"article"|242|107
"5"|"https://openalex.org/W2046515122"|"Global Patterns of Predator Diversity in the Open Oceans"|2005|"https://openalex.org/S3880285"|"Science"|"article"|362|23
"5"|"https://openalex.org/W2897516365"|"Arctic sea ice thickness, volume, and multiyear ice coverage: losses and coupled variability (1958–2018)"|2018|"https://openalex.org/S139338987"|"Environmental research letters"|"article"|495|18
